name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_measurement_type,radius_measurement_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
TOI-682 b,Confirmed,0.0387,,,,,,0.339,,,6.8392339,,,0.0668,,,,,,,,,,2021,2024-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,950.0,,,,,,,,,Published in a refereed paper,Primary Transit,,Primary Transit,"TOI-682.01, HD 97260 b",,TOI-682,167.88585454253,-22.07255163463,10.028,,8.521,8.201,8.1,83.1548,0.30135,0.30135,0.27,0.1,0.1,0.85,0.1,0.1,1.084,0.069,0.069,K0V,,,,5085.0,131.389,131.389,,,HD 97260
TOI-6883 Ab,Confirmed,4.34,0.15,0.15,,,,1.087,0.02,0.02,16.24921,0.0001,0.0001,0.129,0.002,0.002,0.6,0.002,0.002,89.6,0.4,0.3,,2024,2025-06-11,1.7,0.5,0.5,,,,,,,2459811.24,0.00025,0.00025,,,,,,,0.12,0.08,0.1,,,,414.8,2.8,2.8,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"TOI-6883.01, TIC 393818343 b",,TOI-6883 A,310.2917083333333,3.638297222222222,9.5,,,,,93.73,0.35,0.35,0.32,0.06,0.06,1.082,0.056,0.056,1.086,0.02,0.02,G2V,3.8,2.1,2.6,5756.0,67.0,67.0,,,"BD+03 4397, TIC 393818343"
TOI-6883 Ac,Confirmed,0.357,0.132,0.132,,,,0.792,0.018,0.018,7.8458,0.0023,0.0023,0.079,0.011,0.011,0.3896,1.5e-05,1.5e-05,87.6503,0.0003,0.0003,,2024,2025-06-13,-107.8189,0.0003,0.0003,,,,,,,2460554.3703,0.0003,0.0003,,,,,,,0.3972,0.0002,0.0002,,,,,,,1027.2,0.372,0.372,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,TIC 393818343 c,,TOI-6883 A,310.2917083333333,3.638297222222222,9.5,,,,,93.73,0.35,0.35,0.32,0.06,0.06,1.082,0.056,0.056,1.086,0.02,0.02,G2V,3.8,2.1,2.6,5756.0,67.0,67.0,,,"BD+03 4397, TIC 393818343"
TOI-6894 b,Confirmed,0.168,0.022,0.022,,,,0.855,0.022,0.022,3.37077196,6e-07,6e-07,0.02604,0.00045,0.00045,0.03,0.03,0.03,89.6,0.1,0.1,,2022,2025-06-04,,,,,,,,,,2460313.41167,4e-05,4e-05,,,,,,,0.18,0.04,0.03,,,,65.5,8.3,8.3,418.0,9.0,9.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,TOI-6894,173.469142,12.451091,,,,,,73.8131,0.5271,0.5271,0.24,0.081,0.081,0.207,0.011,0.011,0.2276,0.0057,0.0057,M5V,,,,2960.0,66.0,66.0,,,TIC 67512645
TOI-699 b,Confirmed,0.0202,0.006,0.006,,,,0.2184,,,14.801,,,0.125,,,,,,88.15,0.73,0.73,,2019,2025-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,1006.0,,,,,,,,,Announced on a website,Primary Transit,Theoretical,Primary Transit,TOI-699.01,,TOI-699,83.38233333333334,-62.10911111111111,10.22,,,,,192.86,,,0.04,,,1.179,,,1.419,,,F8IV-V,,,,6139.0,,,,,TIC 149302744
TOI-699 c,Confirmed,0.0213,0.006,0.006,,,,0.20564,0.01552,0.01552,33.634,,,0.215,,,,,,88.83,0.175,0.175,,2019,2025-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,765.0,,,,,,,,,Announced on a website,Primary Transit,Theoretical,Primary Transit,TOI-699.02,,TOI-699,83.38233333333334,-62.10911111111111,10.22,,,,,192.86,,,0.04,,,1.179,,,1.419,,,F8IV-V,,,,6139.0,,,,,TIC 149302744
TOI-700 b,Confirmed,0.00406,0.00116,0.003,,,,0.08154,0.00437,0.00473,9.977219,3.8e-05,4.1e-05,0.0677,0.0011,0.0011,0.075,0.054,0.093,89.6,0.29,0.29,,2020,2023-01-12,210.0,130.0,120.0,,,,,,,2458880.0993,0.0016,0.0016,,,,,,,0.24,0.16,0.19,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,,,TOI-700,97.095833341,-65.579444466,13.0,,,,,31.127,0.02,0.02,-0.07,0.11,0.11,0.416,0.01,0.01,0.42,0.031,0.031,M2V,1.5,0.0,10.0,3480.0,135.0,135.0,,,
TOI-700 c,Confirmed,0.0079,,,,,,0.232,0.0125,0.0125,16.051137,2e-05,2e-05,0.0929,0.0015,0.0015,0.068,0.049,0.07,88.9,0.087,0.071,,2020,2025-07-14,30.0,120.0,120.0,,,,,,,2458821.62181,0.00042,0.00041,2458332.06,0.69,0.69,,,,0.899,0.017,0.014,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,TOI-700,97.095833341,-65.579444466,13.0,,,,,31.127,0.02,0.02,-0.07,0.11,0.11,0.416,0.01,0.01,0.42,0.031,0.031,M2V,1.5,0.0,10.0,3480.0,135.0,135.0,,,
TOI-700 d,Confirmed,0.0076,,,,,,0.09573,0.00482,0.00526,37.42396,0.00035,0.00039,0.1633,0.0027,0.0027,0.042,0.03,0.04,89.8,0.1,0.12,,2020,2025-07-14,10.0,140.0,120.0,,,,,,,2458816.9952,0.0013,0.0013,,,,,,,0.29,0.18,0.14,,,,,,,295.0,55.0,55.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,TOI-700,97.095833341,-65.579444466,13.0,,,,,31.127,0.02,0.02,-0.07,0.11,0.11,0.416,0.01,0.01,0.42,0.031,0.031,M2V,1.5,0.0,10.0,3480.0,135.0,135.0,,,
TOI-7019 b,Confirmed,61.3,2.1,2.1,,,,0.82,0.015,0.015,48.2592,0.0001,0.0001,0.2535,0.009,0.009,0.4025,0.0015,0.0015,89.8,0.16,0.16,,2025,2025-12-09,-171.5,0.5,0.5,,,,,,,2459942.3067,0.0012,0.0012,,,,,,,0.24,0.14,0.14,,,,4417.0,17.0,17.0,479.0,10.0,10.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,TOI-7019,273.7889166666667,50.86273888888889,13.2,,,,,435.0,2.0,2.0,-0.79,0.05,0.05,0.78,0.01,0.01,0.92,0.01,0.01,G2V,12.0,1.5,1.5,5800.0,100.0,100.0,,,
TOI-7041 b,Confirmed,0.36,0.16,0.16,,,,1.02,0.03,0.03,9.691,0.006,0.006,0.091,,,0.04,0.04,0.04,,,,,2024,2024-10-22,131.0,52.0,52.0,,,,,,,2460160.393,0.012,0.012,,,,,,,0.2,0.1,0.1,,,,36.2,5.0,5.0,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"TOI-7041.01, TIC 201175570 b",,TOI-7041,357.80216666666666,-50.86986111111111,11.25,,,,,442.0,3.0,3.0,0.25,0.1,0.1,1.07,0.05,0.05,4.1,0.06,0.06,K2III-IV,10.3,1.9,1.9,4700.0,100.0,100.0,,,TIC 201175570
TOI-712 b,Confirmed,0.0176,0.0041,0.006,,,,0.1828,0.0071,0.0107,9.531361,1.8e-05,1.8e-05,0.07928,0.00091,0.00096,0.54,0.2,0.26,88.22,0.53,1.1,,2021,2021-11-05,68.0,77.0,88.0,,,,,,,245.0,,,,,,,,,0.41,0.28,0.32,,,,,,,650.0,6.0,6.0,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,,,TOI-712,92.937500015,-65.825833357,10.9,,,,,58.62,0.11,0.11,-0.02,0.043,0.12,0.732,0.027,0.027,0.674,0.017,0.017,,0.83,0.28,0.28,4622.0,61.0,61.0,,,
TOI-712 c,Confirmed,0.0274,0.006,0.0098,,,,0.241,0.0071,0.008,51.69906,0.00017,0.00017,0.2447,0.003,0.003,0.089,0.056,0.083,89.78,0.11,0.14,,2021,2021-11-05,115.0,96.0,96.0,,,,,,,,,,,,,,,,0.28,0.19,0.16,,,,,,,370.0,3.4,3.4,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,,,TOI-712,92.937500015,-65.825833357,10.9,,,,,58.62,0.11,0.11,-0.02,0.043,0.12,0.732,0.027,0.027,0.674,0.017,0.017,,0.83,0.28,0.28,4622.0,61.0,61.0,,,
TOI-712 d,Confirmed,0.0236,0.0053,0.0085,,,,0.22072,0.00732,0.008,84.8396,0.0004,0.00043,0.3405,0.004,0.004,0.073,0.05,0.064,89.82,0.07,0.1,,2021,2021-11-05,30.0,140.0,110.0,,,,,,,,,,,,,,,,0.34,0.21,0.14,,,,,,,313.6,2.9,2.9,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,,,,TOI-712,92.937500015,-65.825833357,10.9,,,,,58.62,0.11,0.11,-0.02,0.043,0.12,0.732,0.027,0.027,0.674,0.017,0.017,,0.83,0.28,0.28,4622.0,61.0,61.0,,,
TOI-7149 b,Confirmed,0.705,0.075,0.075,,,,1.18,0.045,0.045,2.65206166,8e-07,8e-07,0.026,0.00076,0.00076,0.078,0.048,0.048,89.25,0.3,0.4,,2025,2025-06-24,-16.0,34.0,40.0,,,,,,,2459703.59605,0.0003,0.0003,,,,,,,,,,,,,216.0,21.0,21.0,593.0,21.0,21.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,TOI-7149,244.738,19.176,,,,,,127.24,0.74,0.74,-0.08,0.16,0.16,0.344,0.03,0.03,0.351,0.015,0.015,,7.8,5.0,5.0,3363.0,59.0,59.0,,,
TOI-7166 b,Confirmed,0.0201,0.0047,0.006,,,,0.2132,0.0107,0.0107,12.920616,6.1e-05,5.9e-05,0.0503,0.0027,0.0027,0.0,,,89.089,0.067,0.067,,2025,2025-12-09,,,,,,,,,,2460847.7428,1e-05,1e-05,,,,,,,0.702,0.027,0.025,,,,4.8,1.0,1.4,329.0,9.0,9.0,,,,,,,Published in a refereed paper,Primary Transit,,Primary Transit,,,TOI-7166,320.680625,8.889397222222222,15.8,,,,,35.24,0.03,0.03,0.24,0.04,0.04,0.221,0.051,0.051,0.245,0.01,0.01,M4.5V,4.0,,,3092.0,63.0,63.0,,,LP 577-37
TOI-733 b,Confirmed,0.018,0.00022,0.00022,,,,0.1775,0.008,0.00758,4.884765,2.4e-05,1.9e-05,0.0618,,,0.046,0.033,0.056,88.85,0.8,0.8,,2023,2024-04-16,306.8,68.0,160.0,,,,,,,2458575.7767,0.0023,0.0031,,,,,,,0.29,0.2,0.2,,,,2.23,0.26,0.26,1055.8,31.0,36.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,,,,TOI-733,159.408333346,-40.888333355,9.3,,,,,75.27,0.07,0.07,-0.04,0.05,0.05,0.956,0.026,0.05,0.95,0.012,0.008,,4.4,3.1,1.5,5585.0,60.0,60.0,,,
TOI-7497 b,Confirmed,37.25,1.6,1.6,,,,0.963,0.037,0.037,5.2926298,8.6e-05,8.6e-05,0.06048,0.0013,0.0013,0.19,0.003,0.003,88.01,0.14,0.14,,2016,2025-12-04,-13.8,1.0,1.0,2457339.826,0.019,0.019,,,,2457341.037008,8.1e-05,8.1e-05,,,,1.4,2.5,2.5,0.43,0.015,0.015,,,,4272.0,19.0,19.0,1268.0,15.0,15.0,,,0.6,,,4.76,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,CWW 89 Ab,,EPIC 219388192 A,289.391666678,-16.871666688,12.5,,,,,300.0,24.0,24.0,0.03,0.08,0.08,0.99,0.05,0.05,1.01,0.04,0.04,G1V,3.9,1.9,1.9,5850.0,85.0,85.0,,,"CWW 89, 2MASS J19173402-1652177"
TOI-7510 b,Confirmed,0.0569,0.0053,0.0053,,,,0.651,0.018,0.018,11.530869,,,0.102,0.002,0.002,0.057,0.003,0.003,90.0,0.7,0.7,,2025,2025-11-26,95.9,5.6,5.6,,,,,,,2458656.213656,,,,,,84.3,0.5,0.5,0.18,0.13,0.13,,,,4.93,0.36,0.36,878.0,13.0,13.0,,,,,,2.5,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,TOI-7510,273.7282083333333,-54.43405555555555,12.0,,,,,242.0,1.2,1.2,0.2,0.05,0.05,1.02,0.03,0.03,1.02,0.02,0.02,G1V,4.4,1.6,1.7,5820.0,80.0,80.0,,,TIC 118798035
TOI-7510 c,Confirmed,0.41,0.04,0.04,,,,0.964,0.027,0.027,22.5687423,,,0.1595,0.003,0.003,0.009,0.01,0.01,90.1,0.3,0.3,,2025,2025-11-26,187.0,21.0,51.0,,,,,,,2458664.157045,,,,,,322.7,0.7,0.7,0.14,0.1,0.1,,,,28.4,1.9,1.9,702.0,10.0,10.0,,,,,,3.04,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,TOI-7510,273.7282083333333,-54.43405555555555,12.0,,,,,242.0,1.2,1.2,0.2,0.05,0.05,1.02,0.03,0.03,1.02,0.02,0.02,G1V,4.4,1.6,1.7,5820.0,80.0,80.0,,,TIC 118798035
TOI-7510 d,Confirmed,0.56,0.04,0.04,,,,0.94,0.03,0.03,48.864468,,,0.2672,0.005,0.005,0.04,0.02,0.02,89.3,0.04,0.04,,2025,2025-11-26,338.0,37.0,37.0,,,,,,,2458693.78019,,,,,,167.0,1.0,1.0,0.65,0.04,0.04,,,,31.8,2.8,2.8,542.0,8.0,8.0,,,,,,3.22,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,TOI-7510,273.7282083333333,-54.43405555555555,12.0,,,,,242.0,1.2,1.2,0.2,0.05,0.05,1.02,0.03,0.03,1.02,0.02,0.02,G1V,4.4,1.6,1.7,5820.0,80.0,80.0,,,TIC 118798035
TOI-756 Ab,Confirmed,0.03093,0.0057,0.0057,,,,0.2507,0.009,0.009,1.2392495,7e-07,7e-07,0.018,0.0002,0.0002,0.51,0.51,0.0,85.53,0.2,0.2,,2025,2025-10-15,,,,,,,,,,2458570.65234,0.00037,0.00037,,,,,,,0.59,0.02,0.02,,,,9.2,1.7,1.7,934.0,24.0,24.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,TOI-756 A,192.10504166666666,-45.470597222222224,14.6,,,,,86.45,0.22,1.18,0.196,0.029,0.029,0.505,0.019,0.019,0.505,0.015,0.015,M1V,3.2,2.3,5.5,3657.0,72.0,72.0,,,WT 351
TOI-757 b,Confirmed,0.033,0.0069,0.0069,,,,0.223,0.009,0.009,17.46819,2e-05,2e-05,0.122,0.002,0.002,0.39,0.08,0.08,89.5,0.4,0.4,,2024,2024-07-31,-36.0,14.0,14.0,,,,,,,2459305.5322,0.0006,0.0006,,,,,,,0.3,0.2,0.2,,,,3.3,0.6,0.6,641.0,10.0,10.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,TOI-757,187.99,-35.55,9.7,,,,,60.4,0.3,0.3,-0.27,0.04,0.04,0.8,0.04,0.04,0.773,0.005,0.005,,7.5,3.0,3.0,5278.0,63.0,63.0,,,
TOI-762 Ab,Confirmed,0.251,0.042,0.042,,,,0.744,0.017,0.017,3.4716826,7.2e-07,7.2e-07,0.03418,0.00065,0.00065,,,,87.5,0.039,0.039,,2024,2025-02-11,,,,,,,,,,2459850.25847,9.4e-05,9.4e-05,,,,,,,0.571,0.0101,0.0086,,,,58.1,9.3,9.3,555.4,6.4,6.4,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,TOI-762 A,166.07576295253293,-47.82138972363667,16.11,,12.0,11.35,11.08,98.78,0.22,0.22,0.357,0.085,0.085,0.442,0.025,0.025,0.425,0.0091,0.0091,M3V,9.3,5.5,5.5,3266.0,36.0,36.0,,,TIC 178709444
TOI-763 Ab,Confirmed,0.0308,0.00245,0.00245,,,,0.2034,0.0098,0.0098,5.6057,0.0013,0.0013,0.06,0.0006,0.0006,0.04,0.04,0.03,,,,,2020,2024-07-30,42.0,84.0,57.0,,,,,,,,,,,,,,,,0.51,0.35,0.35,,,,3.79,0.31,0.31,1038.0,16.0,16.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,TOI-763 A,194.466666684,-39.757777799,10.28,,8.86,8.55,8.49,95.39,0.05,0.05,0.01,0.05,0.05,0.917,0.028,0.028,0.897,0.013,0.013,G6V,,,,5450.0,60.0,60.0,,,
TOI-763 Ac,Confirmed,0.02932,0.00321,0.00321,,,,0.2346,0.0107,0.0107,12.2737,0.0077,0.0053,0.1,0.001,0.001,0.04,0.03,0.04,,,,,2020,2024-07-30,62.0,153.0,78.0,,,,,,,,,,,,,,,,0.51,0.35,0.35,,,,2.77,0.31,0.31,800.0,12.0,12.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,TOI-763 A,194.466666684,-39.757777799,10.28,,8.86,8.55,8.49,95.39,0.05,0.05,0.01,0.05,0.05,0.917,0.028,0.028,0.897,0.013,0.013,G6V,,,,5450.0,60.0,60.0,,,
TOI-771 b,Confirmed,0.00777,0.0013,0.0013,,,,0.1213,0.009,0.009,2.3260155,1e-06,1e-06,0.0208,0.001,0.001,0.055,0.036,0.047,89.3,0.5,0.5,,2023,2025-04-28,-130.0,66.0,38.0,,,,,,,2458572.4191,0.0003,0.0003,,,,,,,0.22,0.18,0.18,,,,3.29,0.28,0.28,543.0,34.0,34.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,TOI-771,164.112500009,-72.985277799,14.8,,,,,25.28,0.04,0.04,0.12,0.28,0.19,0.22,0.024,0.024,0.242,0.012,0.012,,6.7,4.9,4.9,3201.0,100.0,100.0,,,
TOI-776 b,Confirmed,0.01466,0.00305,0.00305,,,,0.165,0.0116,0.0116,8.24664,6e-05,9e-05,0.0652,0.001,0.001,,,,89.65,0.37,0.22,,2020,2025-02-13,,,,,,,,,,2458571.4167,0.0019,0.0015,,,,,,,0.16,0.11,0.16,,,,2.22,0.46,0.46,513.0,12.0,12.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,TOI-776,178.575000006,-37.552777791,11.5,,,,,27.19,0.03,0.03,-0.2,0.12,0.12,0.544,0.028,0.028,0.538,0.024,0.024,M1V,7.8,6.3,3.9,3709.0,70.0,70.0,,,
TOI-776 c,Confirmed,0.0217,0.0082,0.0082,,,,0.1829,0.0071,0.0071,15.665323,7e-05,7e-05,0.1,0.002,0.002,0.09,0.05,0.05,89.5,0.3,0.3,,2020,2025-03-03,7.0,52.0,58.0,,,,,,,2458572.5997,0.0022,0.0024,,,,,,,0.36,0.18,0.14,,,,2.65,1.0,1.0,420.0,10.0,10.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,TOI-776,178.575000006,-37.552777791,11.5,,,,,27.19,0.03,0.03,-0.2,0.12,0.12,0.544,0.028,0.028,0.538,0.024,0.024,M1V,7.8,6.3,3.9,3709.0,70.0,70.0,,,
TOI-778 b,Confirmed,2.8,0.2,0.2,,,,1.374,0.045,0.045,4.633611,1e-06,1e-06,0.06,0.003,0.003,0.21,0.04,0.04,84.7,0.4,0.4,,2022,2022-12-19,28.0,12.0,12.0,,,,,,,2458578.7161,0.0001,0.0001,,,,18.0,11.0,11.0,0.61,0.02,0.02,,,,271.0,17.0,17.0,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,HD 115447,,TOI-778,199.33333334,-15.273611122,9.1,,,,,162.0,1.0,1.0,0.28,0.1,0.1,1.4,0.05,0.05,1.71,0.05,0.05,F2,1.95,0.14,0.14,6875.0,190.0,190.0,,,HD 115447
TOI-782 b,Confirmed,0.0601,0.0,0.0601,,,,0.24391,0.00758,0.00758,8.0240015,7.7e-06,7.7e-06,0.0578,0.0018,0.0018,0.19,0.1,0.1,89.0,0.17,0.51,,2024,2024-05-22,,,,,,,,,,2458577.04189,0.0009,0.0009,,,,,,,0.46,0.25,0.12,,,,5.7,3.0,3.0,400.0,6.0,6.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,TOI-782,183.92,-18.910333333333334,13.5,,,,,52.21,0.055,0.055,0.34,0.15,0.15,0.397,0.01,0.01,0.413,0.008,0.008,,,,,3370.0,30.0,20.0,,,
TOI-784 b,Confirmed,0.03043,0.0025,0.0025,,,,0.1722,0.009,0.009,2.7970365,3e-06,3e-06,0.038,0.001,0.001,0.0,,,88.6,0.86,0.86,,2023,2023-06-27,,,,,,,,,,2459336.61221,0.0005,0.00044,,,,,,,,,,,,,4.67,0.2,0.2,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,HD 307842 b,,TOI-784,159.341666674,-63.655000017,9.4,,,,,64.59,0.05,0.05,-0.13,0.08,0.08,0.91,0.1,0.1,0.907,0.017,0.017,,,,,5558.0,100.0,100.0,,,HD 307842
TOI-811 Ab,Confirmed,55.3,3.2,3.2,,,,1.35,0.09,0.09,25.16551,4e-05,4e-05,,,,,,,,,,,2020,2024-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,TOI-811.01,,TOI-811 A,88.029166669,-32.918611131,11.4,,10.4,10.15,10.07,286.2,1.7,1.8,0.4,0.09,0.09,1.32,0.05,0.05,1.27,0.09,0.09,F8V,0.093,0.029,0.061,6107.0,77.0,77.0,,,
TOI-815 Ab,Confirmed,0.0239,0.0047,0.0047,,,,0.2623,0.0045,0.0045,11.197259,1.8e-05,1.8e-05,0.0903,0.019,0.019,0.0,,,89.36,0.14,0.17,,2024,2025-02-11,,,,,,,,,,2459287.6028,0.0009,0.0009,,,,,,,0.28,0.07,0.06,,,,2.6,0.5,0.5,686.0,14.0,14.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,TOI-815 A,155.871875,-43.83495555555555,10.2,,,,,59.437,0.045,0.045,-0.09,0.035,0.035,0.776,0.036,0.036,0.77,0.009,0.009,K3V,0.2,0.2,0.4,4869.0,77.0,77.0,,,
TOI-815 Ac,Confirmed,0.0739,0.0076,0.0076,,,,0.2337,0.009,0.009,34.976145,9e-05,9e-05,0.193,0.004,0.004,,,,89.1,0.03,0.03,,2024,2025-02-11,,,,,,,,,,2459288.6331,0.0024,0.0024,,,,,,,0.84,0.016,0.016,,,,5.5,0.5,0.5,469.0,9.0,9.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,TOI-815 A,155.871875,-43.83495555555555,10.2,,,,,59.437,0.045,0.045,-0.09,0.035,0.035,0.776,0.036,0.036,0.77,0.009,0.009,K3V,0.2,0.2,0.4,4869.0,77.0,77.0,,,
TOI-824 b,Confirmed,0.058104,0.00592,0.00579,,,,0.26104,0.017,0.018,1.392978,1.7e-05,1.8e-05,0.02177,0.00032,0.00032,,,,83.65,0.38,0.39,,2020,2020-08-28,,,,2458597.81419,0.00065,0.00065,,,,2458597.81419,0.00065,0.00065,,,,,,,0.745,0.024,0.022,,,,13.2,1.3,1.2,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,TOI-824,222.16666668,-57.588888905,11.1,,,,,63.71,0.2,0.2,-0.15,0.02,0.02,0.69,0.007,0.009,0.68,0.005,0.005,K4V,10.9,3.1,1.8,4616.0,51.0,51.0,,,
TOI-833 Ab,Confirmed,0.006,0.0019,0.0041,,,,0.1133,0.0062,0.0062,1.04318777,3.24e-05,3.24e-05,0.0171,0.0003,0.0003,,,,,,,,2022,2025-08-01,,,,,,,,,,2458597.256,0.001,0.001,,,,,,,0.31,0.14,0.14,,,,,,,1118.0,49.0,49.0,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,,,TOI-833 A,145.645833345,-62.476111128,12.0,,,,,41.7,,,,,,0.61,0.03,0.03,0.6,0.02,0.02,M0V,,,,3920.0,100.0,100.0,,,LDS 278 A
TOI-836 b,Confirmed,0.01425,0.00271,0.00289,,,,0.15202,0.00598,0.00598,3.81673,1e-05,1e-05,0.0422,0.00093,0.00093,0.053,0.042,0.042,87.57,0.44,0.44,,2022,2022-08-16,9.0,92.0,92.0,,,,,,,2458599.9953,0.0019,0.0019,,,,,,,0.58,0.11,0.11,,,,2.38,0.35,0.35,871.0,36.0,36.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,HIP 73427 b,,TOI-836,225.079166673,-24.454444457,9.9,,,,,27.504,0.029,0.029,-0.284,0.067,0.067,0.678,0.041,0.049,0.665,0.01,0.01,,5.4,5.0,6.3,4552.0,154.0,154.0,,,HIP 73427
TOI-836 c,Confirmed,0.0302,0.0085,0.0085,,,,0.2308,0.00785,0.00785,8.59545,1e-05,1e-05,0.075,0.0016,0.0016,0.078,0.056,0.056,88.7,1.5,1.5,,2022,2022-08-16,332.0,113.0,113.0,,,,,,,2458599.7623,0.0008,0.0008,,,,,,,0.53,0.13,0.13,,,,3.86,0.85,0.85,665.0,27.0,27.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,HIP 73427 c,,TOI-836,225.079166673,-24.454444457,9.9,,,,,27.504,0.029,0.029,-0.284,0.067,0.067,0.678,0.041,0.049,0.665,0.01,0.01,,5.4,5.0,6.3,4552.0,154.0,154.0,,,HIP 73427
TOI-837 Ab,Confirmed,0.395,0.07,0.07,1.2,1.2,0.0,0.817,0.023,0.032,8.3249114,3.7e-06,3.7e-06,0.0883,0.0029,0.0029,0.0,,,87.1,1.13,1.13,,2020,2025-03-04,,,,,,,,,,2459356.81402,0.002,0.003,,,,,,,0.92,0.01,0.017,,,,36.2,6.3,6.8,1000.0,20.0,20.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"PATHOS-30 b, TOI-837.01",,TOI-837 A,160.741666686,-64.400000008,10.63,,,,,142.488,0.4595,0.4595,,,,1.15,0.157,0.157,1.0,0.0438,0.0438,F8V,0.035,,,6104.0,124.263,124.263,,,
